,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-02-14,2.2,1.4,1.3,3.2,1.5,3.3,1.9,2.2,2.1,6.2,5.6,2.3,3.6,1.4,1.0,5.0,-999,0.6,6.2,4.8,2.3,3.9,0.3,3.5
2021-06-02-15,2.2,1.2,0.8,1.2,2.4,4.1,1.5,2.2,2.3,5.5,5.5,2.2,2.2,1.5,0.9,5.1,-999,0.7,4.4,6.2,1.6,2.7,1.5,2.8
2021-06-02-16,2.3,0.7,0.5,3.7,1.4,2.6,1.9,1.9,1.9,3.6,4.2,2.0,2.5,1.9,1.4,4.4,-999,1.1,4.9,4.5,1.4,2.3,0.2,3.5
2021-06-02-17,1.2,0.7,0.2,1.5,1.2,2.9,0.9,1.6,2.0,3.2,4.7,2.9,1.6,0.5,1.2,5.4,-999,1.0,4.0,4.4,1.7,2.3,3.7,2.3
2021-06-02-18,3.3,0.6,0.6,1.2,1.0,5.0,0.2,2.7,0.9,1.0,4.1,2.6,1.7,2.1,0.9,2.6,-999,1.3,1.9,2.6,1.3,2.0,3.0,2.0
2021-06-02-19,1.4,1.8,0.8,1.7,1.1,4.1,1.8,1.8,0.4,0.8,3.8,1.3,2.0,2.4,2.6,1.5,-999,0.8,1.5,2.8,1.7,1.9,2.2,1.0
2021-06-02-20,1.8,1.2,0.7,1.6,0.8,3.8,0.8,0.3,2.1,0.1,1.5,1.9,1.2,2.1,2.5,1.5,-999,0.7,1.6,2.3,1.0,1.9,0.9,0.9
2021-06-02-21,2.8,0.6,1.6,1.0,0.9,4.2,0.9,0.7,0.7,0.7,3.1,1.3,1.2,0.4,0.6,1.5,-999,0.9,2.0,1.8,1.2,1.3,0.5,1.0
2021-06-02-22,2.2,1.5,0.9,1.2,0.8,3.8,0.8,0.2,0.7,1.5,2.1,0.8,2.9,0.4,4.1,1.2,-999,0.5,1.5,1.4,0.7,0.9,2.0,0.7
2021-06-02-23,2.2,0.8,0.6,1.5,1.3,2.4,0.2,0.7,0.8,1.7,2.3,0.4,1.9,1.2,0.7,1.6,-999,1.0,2.2,1.9,0.4,0.5,1.2,0.4
2021-06-02-24,1.7,0.6,0.8,1.1,1.5,2.5,0.8,0.5,0.4,1.5,2.3,0.4,1.9,1.7,2.8,1.4,-999,1.9,1.2,1.7,0.5,0.9,2.5,1.0
2021-06-03-01,2.0,1.5,0.6,1.7,1.2,2.3,0.6,1.2,1.4,0.8,2.9,0.9,1.9,2.2,1.3,0.8,-999,1.3,1.4,0.8,1.2,0.7,1.0,1.1
2021-06-03-02,1.4,0.7,0.8,2.0,2.0,1.5,0.8,0.8,0.5,1.1,2.2,1.0,1.8,1.7,0.8,1.1,-999,1.3,1.0,1.6,1.0,0.9,1.1,0.7
2021-06-03-03,2.8,1.1,0.9,2.4,0.8,2.1,0.6,1.0,0.9,1.6,2.7,1.0,2.8,0.2,2.4,0.6,-999,1.7,1.1,1.9,1.8,1.4,1.2,0.5
2021-06-03-04,2.9,1.7,1.1,1.3,1.4,1.4,0.8,1.5,0.6,1.8,3.4,0.9,2.6,0.4,1.8,1.4,-999,1.1,1.1,1.9,1.6,0.7,1.7,1.2
2021-06-03-05,2.4,1.1,1.2,2.2,0.5,1.6,0.2,0.7,1.5,2.0,3.0,0.7,3.7,1.1,2.8,1.1,-999,1.8,1.8,1.4,1.5,0.3,1.0,1.7
2021-06-03-06,2.2,1.0,1.3,2.3,1.1,2.5,0.6,1.4,0.3,1.9,2.9,0.9,4.8,0.3,0.8,1.2,-999,0.5,1.9,2.3,1.5,0.6,1.2,1.8
2021-06-03-07,2.0,1.1,1.3,1.5,1.1,2.9,0.2,1.4,0.9,0.9,2.9,1.0,3.8,0.9,1.9,0.8,-999,0.2,2.6,1.6,1.2,1.6,1.4,2.5
2021-06-03-08,2.1,1.1,1.5,1.7,0.8,5.5,0.7,0.8,0.3,1.1,3.0,1.4,4.3,1.8,1.1,1.0,-999,0.2,1.3,1.2,0.2,2.8,0.3,3.0
2021-06-03-09,1.8,0.5,1.2,2.0,0.8,6.5,1.1,1.8,1.4,2.0,2.0,1.8,2.6,0.4,0.7,1.5,-999,0.4,2.5,3.2,2.1,2.2,0.6,3.8
2021-06-03-10,2.3,0.5,1.2,2.3,1.1,6.5,2.0,2.4,1.5,2.5,3.1,2.3,2.8,0.4,1.0,2.9,-999,0.5,3.7,2.3,1.3,1.5,0.2,4.3
2021-06-03-11,2.4,0.7,1.0,4.1,3.1,5.7,1.4,1.8,2.3,3.1,5.5,1.7,4.8,1.3,1.0,3.6,-999,1.2,3.2,2.4,2.4,2.2,0.2,3.8
2021-06-03-12,2.5,1.1,1.3,2.9,1.6,7.1,2.7,1.5,3.6,6.0,3.9,2.7,6.8,0.3,1.4,3.3,-999,1.3,3.3,3.9,2.6,3.7,0.3,3.6
2021-06-03-13,2.0,2.0,1.7,4.1,1.2,6.6,1.2,2.4,3.4,6.3,6.5,3.1,7.2,1.6,1.1,3.1,-999,1.5,4.1,2.9,2.8,4.3,0.1,3.7
2021-06-03-14,3.4,2.7,1.5,3.9,1.3,6.8,1.1,2.9,3.0,7.0,6.0,3.0,6.7,0.9,1.1,3.9,-999,1.8,3.6,4.4,2.9,5.9,0.1,3.4
