,北京,上海,福州,廈門
2019-01-22-04,24.0,80.0,74.0,63.0
2019-01-22-05,17.0,81.0,76.0,66.0
2019-01-22-06,17.0,84.0,77.0,67.0
2019-01-22-07,16.0,92.0,78.0,69.0
2019-01-22-08,22.0,98.0,77.0,67.0
2019-01-22-09,23.0,104.0,72.0,62.0
2019-01-22-10,23.0,107.0,65.0,43.0
2019-01-22-11,27.0,101.0,60.0,24.0
2019-01-22-12,24.0,90.0,53.0,18.0
2019-01-22-13,24.0,85.0,53.0,23.0
2019-01-22-14,19.0,87.0,48.0,24.0
2019-01-22-15,19.0,89.0,44.0,30.0
2019-01-22-16,17.0,73.0,43.0,43.0
2019-01-22-17,20.0,62.0,57.0,52.0
2019-01-22-18,24.0,58.0,58.0,52.0
2019-01-22-19,31.0,64.0,59.0,52.0
2019-01-22-20,36.0,67.0,60.0,53.0
2019-01-22-21,40.0,74.0,59.0,53.0
2019-01-22-22,42.0,79.0,59.0,54.0
2019-01-22-23,41.0,83.0,60.0,53.0
2019-01-23-00,42.0,87.0,59.0,58.0
2019-01-23-01,33.0,92.0,56.0,61.0
2019-01-23-02,26.0,95.0,58.0,61.0
2019-01-23-03,23.0,95.0,56.0,49.0
2019-01-23-04,20.0,93.0,55.0,47.0
2019-01-23-05,16.0,94.0,53.0,46.0
2019-01-23-06,15.0,94.0,51.0,52.0
2019-01-23-07,13.0,98.0,50.0,53.0
2019-01-23-08,16.0,100.0,50.0,57.0
2019-01-23-09,17.0,98.0,50.0,56.0
2019-01-23-10,16.0,102.0,49.0,47.0
2019-01-23-11,15.0,101.0,48.0,44.0
2019-01-23-12,13.0,91.0,48.0,40.0
2019-01-23-13,15.0,83.0,48.0,36.0
2019-01-23-14,13.0,77.0,44.0,36.0
2019-01-23-15,14.0,68.0,42.0,40.0
2019-01-23-16,15.0,65.0,44.0,41.0
2019-01-23-17,18.0,64.0,51.0,42.0
2019-01-23-18,20.0,76.0,45.0,43.0
2019-01-23-19,40.0,90.0,47.0,50.0
2019-01-23-20,46.0,121.0,52.0,48.0
2019-01-23-21,35.0,131.0,56.0,47.0
2019-01-23-22,33.0,122.0,58.0,50.0
2019-01-23-23,39.0,126.0,58.0,54.0
2019-01-24-00,51.0,130.0,58.0,55.0
2019-01-24-01,53.0,131.0,54.0,54.0
2019-01-24-02,51.0,129.0,50.0,51.0
2019-01-24-03,50.0,124.0,49.0,48.0
2019-01-24-04,49.0,121.0,48.0,45.0
